Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
013C646C  push aminstantservice-8.50.2.0.152E150                            "var fso = new ActiveXObject('Scripting.FileSystemObject');\n"
013C6485  push aminstantservice-8.50.2.0.152E18C                            "var shell = new ActiveXObject ('WScript.Shell');\n"
013C64C6  push aminstantservice-8.50.2.0.152E218                            "', true); } catch (e) {}\n"
013C64D7  push aminstantservice-8.50.2.0.152E210                            "\\'"
013C6509  push aminstantservice-8.50.2.0.152E208                            "\\\\"
013C6535  push aminstantservice-8.50.2.0.152E1F0                            "')) fso.DeleteFolder ('"
013C654B  push aminstantservice-8.50.2.0.152E1E8                            "\\'"
013C657A  push aminstantservice-8.50.2.0.152E1E0                            "\\\\"
013C65AC  push aminstantservice-8.50.2.0.152E1C0                            "try { if (fso.FolderExists ('"
013C67AE  push aminstantservice-8.50.2.0.152E28C                            "', true); } catch (e) {}\n"
013C67C4  push aminstantservice-8.50.2.0.152E284                            "\\'"
013C67F6  push aminstantservice-8.50.2.0.152E27C                            "\\\\"
013C6825  push aminstantservice-8.50.2.0.152E264                            "')) fso.DeleteFolder ('"
013C683B  push aminstantservice-8.50.2.0.152E25C                            "\\'"
013C6867  push aminstantservice-8.50.2.0.152E254                            "\\\\"
013C6899  push aminstantservice-8.50.2.0.152E234                            "try { if (fso.FolderExists ('"
013C6ADD  push aminstantservice-8.50.2.0.152E2FC                            "', true); } catch (e) {}\n"
013C6AF6  push aminstantservice-8.50.2.0.152E2F4                            "\\'"
013C6B28  push aminstantservice-8.50.2.0.152E2EC                            "\\\\"
013C6B54  push aminstantservice-8.50.2.0.152E2D4                            "')) fso.DeleteFile ('"
013C6B6A  push aminstantservice-8.50.2.0.152E2CC                            "\\'"
013C6B99  push aminstantservice-8.50.2.0.152E2C4                            "\\\\"
013C6BCB  push aminstantservice-8.50.2.0.152E2A8                            "try { if (fso.FileExists ('"
013C6DFD  push aminstantservice-8.50.2.0.152E348                            "'); } catch (e) {}\n"
013C6E13  push aminstantservice-8.50.2.0.152E340                            "\\'"
013C6E3F  push aminstantservice-8.50.2.0.152E338                            "\\\\"
013C6E71  push aminstantservice-8.50.2.0.152E334                            "\\\\"
013C6E8A  push aminstantservice-8.50.2.0.152E318                            "try { shell.RegDelete ('"
013C6FE5  push aminstantservice-8.50.2.0.152E394                            "fso.DeleteFolder (rootDir, true); } catch (e) {}\n"
013C6FFB  push aminstantservice-8.50.2.0.152E3C8                            "try { if (rootDir.SubFolders.count + rootDir.Files.count == 0) "
013C7011  push aminstantservice-8.50.2.0.152E38C                            "');\n"
013C7027  push aminstantservice-8.50.2.0.152E384                            "\\'"
013C7056  push aminstantservice-8.50.2.0.152E37C                            "\\\\"
013C708A  push aminstantservice-8.50.2.0.152E35C                            "var rootDir = fso.GetFolder ('"
013C71C3  push aminstantservice-8.50.2.0.152E408                            "fso.DeleteFile (WScript.ScriptFullName);\n"
013C737F  push aminstantservice-8.50.2.0.152E0C0                            "acid.json"
013C74FA  push aminstantservice-8.50.2.0.152E0CC                            "actions"
013C7539  push aminstantservice-8.50.2.0.152E0D4                            "actions"
013C75A2  push aminstantservice-8.50.2.0.152E0DC                            "executable"
013C75E1  push aminstantservice-8.50.2.0.152E0E8                            "executable"
013C807E  push aminstantservice-8.50.2.0.152E480                            "%d.%d.%d"
013C8141  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
013C8507  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013C9008  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013C93F9  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013C95AD  push aminstantservice-8.50.2.0.152E90C                            "port"
013C95F5  push aminstantservice-8.50.2.0.152E914                            "protocol"
013C962A  push aminstantservice-8.50.2.0.152E924                            "api_version"
013C9638  push aminstantservice-8.50.2.0.152E920                            "v1"
013C9663  push aminstantservice-8.50.2.0.152E930                            "connection.json"
013C9857  push aminstantservice-8.50.2.0.152E940                            "value"
013C98A7  push aminstantservice-8.50.2.0.152E948                            "expiration"
013C995D  push aminstantservice-8.50.2.0.152E954                            "cache"
013C99C7  push aminstantservice-8.50.2.0.152E95C                            "path"
013C9A59  push aminstantservice-8.50.2.0.152E964                            "version"
013C9AE0  push aminstantservice-8.50.2.0.152E96C                            "speed"
013C9B35  push aminstantservice-8.50.2.0.152E974                            "max_speed"
013C9B8A  push aminstantservice-8.50.2.0.152E980                            "min_speed"
013C9C4E  push aminstantservice-8.50.2.0.152E98C                            "disk_quota"
013C9C9F  push aminstantservice-8.50.2.0.152E998                            "autoupgrade_wait_time"
013CA036  push aminstantservice-8.50.2.0.152E9B0                            "disk_quota"
013CA091  push aminstantservice-8.50.2.0.152E9BC                            "autoupgrade_wait_time"
013CA0CD  push aminstantservice-8.50.2.0.152E9D4                            "speed"
013CA10A  push aminstantservice-8.50.2.0.152E9DC                            "max_speed"
013CA147  push aminstantservice-8.50.2.0.152E9E8                            "min_speed"
013CA1AA  push aminstantservice-8.50.2.0.152E9F4                            "cache"
013CA2AA  push aminstantservice-8.50.2.0.152E9FC                            "value"
013CA38A  push aminstantservice-8.50.2.0.152EA04                            "expiration"
013CA639  push aminstantservice-8.50.2.0.152E8F4                            "info.json"
013CA781  push aminstantservice-8.50.2.0.152E900                            "info.json"
013CA97D  push aminstantservice-8.50.2.0.152E51C                            "evt"
013CA992  push aminstantservice-8.50.2.0.152E508                            "installcompleted"
013CA9EF  push aminstantservice-8.50.2.0.152E540                            "logname"
013CA9FD  push aminstantservice-8.50.2.0.152E520                            "am-aminstant-installcompleted"
013CAA5A  push aminstantservice-8.50.2.0.152E548                            "contentid"
013CAAC8  push aminstantservice-8.50.2.0.152E554                            "tracking"
013CAB36  push aminstantservice-8.50.2.0.152E560                            "duration"
013CABA1  push aminstantservice-8.50.2.0.152E56C                            "speed"
013CAC0F  push aminstantservice-8.50.2.0.152E574                            "preloadbytes"
013CAC7D  push aminstantservice-8.50.2.0.152E584                            "diskbytes"
013CACEB  push aminstantservice-8.50.2.0.152E590                            "packedbytes"
013CAD56  push aminstantservice-8.50.2.0.152E59C                            "api"
013CADDC  push aminstantservice-8.50.2.0.152E5A0                            "AmInstant::installationCompleted (cid=%s, duration=%s, speed=%s, preloadBytes=%s, totalBytes=%s)"
013CAF41  push aminstantservice-8.50.2.0.152E614                            "evt"
013CAF53  push aminstantservice-8.50.2.0.152E604                            "installstopped"
013CAFA4  push aminstantservice-8.50.2.0.152E634                            "logname"
013CAFB2  push aminstantservice-8.50.2.0.152E618                            "am-aminstant-installstopped"
013CB003  push aminstantservice-8.50.2.0.152E63C                            "contentid"
013CB062  push aminstantservice-8.50.2.0.152E648                            "tracking"
013CB0C1  push aminstantservice-8.50.2.0.152E654                            "api"
013CB0FF  push aminstantservice-8.50.2.0.152E658                            "AmInstant::installationStopped (cid=%s)"
013CB224  push aminstantservice-8.50.2.0.152E690                            "evt"
013CB239  push aminstantservice-8.50.2.0.152E680                            "playfinished"
013CB297  push aminstantservice-8.50.2.0.152E6B0                            "logname"
013CB2A5  push aminstantservice-8.50.2.0.152E694                            "am-aminstant-playfinished"
013CB303  push aminstantservice-8.50.2.0.152E6B8                            "contentid"
013CB372  push aminstantservice-8.50.2.0.152E6C4                            "playerid"
013CB3E1  push aminstantservice-8.50.2.0.152E6D0                            "tracking"
013CB46B  push aminstantservice-8.50.2.0.152E6DC                            "sessiontime"
013CB4EB  mov edi,aminstantservice-8.50.2.0.152E6E8                         "success"
013CB4F4  mov edi,aminstantservice-8.50.2.0.152E6F0                         "fail"
013CB4F9  push aminstantservice-8.50.2.0.152E6F8                            "exitresult"
013CB577  push aminstantservice-8.50.2.0.152E704                            "exitcode"
013CB5F8  push aminstantservice-8.50.2.0.152E710                            "api"
