Text strings referenced in ntdll.text
Address    Disassembly                               Text string
77AE9CA5   PUSH 77AB60C2                             UNICODE RegistryMachineSoftwareMicrosoftSQMClientWindows
77AE9D07   PUSH 77AB623E                             UNICODE CEIPEnable
77AE9D6E   PUSH 77AB6222                             UNICODE CEIPSampledIn
77AE9D86   PUSH 77AB61A6                             UNICODE RegistryMachineSoftwareMicrosoftReliability AnalysisRAC
77AE9DE4   PUSH 77AB6186                             UNICODE RacSampleNumber
77AE9DFF   PUSH 77AB615C                             UNICODE CEIPSamplingRangeLow
77AE9E1E   PUSH 77AB6130                             UNICODE CEIPSamplingRangeHigh
77AE9F57   MOV EDI,77AE9FF4                          ASCII TpAllocTimer
77AE9F5C   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AEAEF9   MOV DWORD PTR SS[EBP-10],77AB8712        UNICODE MUI
77AEC7E9   MOV EBX,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AEC948   MOV EBX,77AEC988                          ASCII TppWorkDestroy
77AEC94D   MOV EDI,77AEC908                          ASCII dw7rtmminkernelthreadpoolntdllwork.c
77AED353   CMP EBX,77B9021C                          ASCII xE
77AEE462   MOV EDI,77AB86B2                          UNICODE .mui
77AEF4AA   PUSH 77AEF4C8                             UNICODE rescache
77AEF60B   MOV DWORD PTR SS[EBP-218],77AEF668       UNICODE %SystemRoot%
77AF0306   PUSH 77AB5D7C                             UNICODE VS_VERSION_INFO
77AF2F0B   MOV DWORD PTR SS[EBP-34],77AB2C4E        UNICODE D3DRM.DLL
77AF2F12   MOV DWORD PTR SS[EBP-2C],77AB2C36        UNICODE MSVCP50.DLL
77AF2F19   MOV DWORD PTR SS[EBP-24],77AB2C1C        UNICODE MSVBVM50.DLL
77AF2F24   MOV DWORD PTR SS[EBP-1C],77AB2BEE        UNICODE PCATESTDEPRECATION.DLL
77AF31D7   PUSH 77AB26A4                             ASCII .aspack
77AF31EF   PUSH 77AB269E                             ASCII .pcle
77AF3207   PUSH 77AB2696                             ASCII .sforce
77AF3257   PUSH 77AB268A                             ASCII secserv.dll
77AF3432   PUSH 77AB889C                             UNICODE UseFilter
77AF3543   PUSH 77AB2742                             UNICODE DllNXOptions
77AF38CB   PUSH 77AF3A2C                             UNICODE COMPLUS_InstallRoot
77AF38F8   PUSH 7FFE0030                             UNICODE CWindows
77AF48B2   MOV EBX,77AF48EC                          ASCII TppAlpcpCallbackEpilog
77AF48B7   MOV EDI,77AF482C                          ASCII dw7rtmminkernelthreadpoolntdlllpc.c
77AF4919   MOV EBX,77AF482C                          ASCII dw7rtmminkernelthreadpoolntdlllpc.c
77AF4926   MOV EDI,77AF49EC                          ASCII TppAlpcpExecuteCallback
77AF5A48   MOV EDI,77AF5AE4                          ASCII TpBindAlpcToDirect
77AF5A4D   MOV ESI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AF62BC   MOV EDI,77AF630C                          ASCII TppCleanupGroupMemberRelease
77AF62C1   MOV ESI,77AD4D28                          ASCII dw7rtmminkernelthreadpoolntdllcgrpmem.c
77AF648E   MOV EBX,77AF6520                          ASCII TppSimplepExecuteCallback
77AF6493   MOV EDI,77AF653C                          ASCII dw7rtmminkernelthreadpoolntdllsimple.c
77AF66ED   MOV EDI,77AF673C                          ASCII TppSimplepFree
77AF66F2   MOV ESI,77AF653C                          ASCII dw7rtmminkernelthreadpoolntdllsimple.c
77AF68F9   MOV ECX,77AB42B2                          ASCII Pinning
77AF7260   PUSH 77AB8712                             UNICODE MUI
77AF8340   MOV EBX,77AF83AC                          ASCII TpUnreserveTaskPost
77AF8345   MOV EDI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AFB0DA   PUSH 77AB62F4                             UNICODE ASqmManifestVersion
77AFB16E   PUSH 77AB6060                             UNICODE AdaptiveSqmNameSpaceBoundary
77AFB191   PUSH 77AB6058                             UNICODE DPS
77AFB544   MOV ESI,77AF67FC                          ASCII dw7rtmminkernelthreadpoolntdllio.c
77AFB557   MOV EBX,77AF6828                          ASCII TppIopValidateIo
77AFC265   MOV EDI,77AFC29C                          ASCII TppCleanupGroupMemberWait
77AFC26A   MOV ESI,77AD4D28                          ASCII dw7rtmminkernelthreadpoolntdllcgrpmem.c
77AFC394   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AFC3A6   MOV EDI,77AC27C4                          ASCII TppTimerpValidateTimer
77AFC521   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AFC533   MOV EDI,77AC27C4                          ASCII TppTimerpValidateTimer
77AFC80B   MOV EDI,77AFC890                          ASCII TpAllocWait
77AFC810   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AFC995   MOV EBX,77AFC2B8                          ASCII FALSE
77AFC99A   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AFC9AC   MOV EDI,77AE02F8                          ASCII TppWaitpValidateWait
77AFCA37   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AFCA49   MOV EDI,77AE02F8                          ASCII TppWaitpValidateWait
77AFCC26   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AFCC38   MOV EDI,77AC27C4                          ASCII TppTimerpValidateTimer
77AFCE85   MOV EBX,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AFCF1E   MOV EDI,77AFCF54                          ASCII TppTimerpDestroyTimerQueueQueue
77AFCF23   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AFCF89   MOV EDI,77AFD000                          ASCII TpSetPoolMinThreads
77AFCF8E   MOV ESI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AFD02C   MOV EDI,77AFD09C                          ASCII TpSetPoolMaxThreads
77AFD031   MOV ESI,77AE9788                          ASCII dw7rtmminkernelthreadpoolntdllpool.c
77AFD42F   MOV ESI,77AF67FC                          ASCII dw7rtmminkernelthreadpoolntdllio.c
77AFD441   MOV EDI,77AF6828                          ASCII TppIopValidateIo
77AFD563   MOV EDI,77AFD5CC                          ASCII TpReleaseCleanupGroup
77AFD568   MOV ESI,77AFD64C                          ASCII dw7rtmminkernelthreadpoolntdllcgrp.c
77AFD5F3   MOV EDI,77AFD634                          ASCII TppCleanupGrouppFree
77AFD5F8   MOV ESI,77AFD64C                          ASCII dw7rtmminkernelthreadpoolntdllcgrp.c
77AFD6E5   MOV ESI,77AF67FC                          ASCII dw7rtmminkernelthreadpoolntdllio.c
77AFD6F8   MOV EBX,77AF6828                          ASCII TppIopValidateIo
77AFD791   MOV ESI,77AF67FC                          ASCII dw7rtmminkernelthreadpoolntdllio.c
77AFD7A3   MOV EDI,77AF6828                          ASCII TppIopValidateIo
77AFD853   MOV EBX,77AFC2B8                          ASCII FALSE
77AFD858   MOV ESI,77AEC908                          ASCII dw7rtmminkernelthreadpoolntdllwork.c
77AFD86A   MOV EDI,77AF683C                          ASCII TppWorkpValidateWork
77AFD8F5   MOV ESI,77AEC908                          ASCII dw7rtmminkernelthreadpoolntdllwork.c
77AFD907   MOV EDI,77AF683C                          ASCII TppWorkpValidateWork
77AFDC6E   MOV ESI,77AF482C                          ASCII dw7rtmminkernelthreadpoolntdlllpc.c
77AFDC80   MOV EDI,77AFDD10                          ASCII TppAlpcpValidateAlpc
77AFE172   MOV EDI,77AFE1C8                          ASCII TpCallbackMayRunLong
77AFE177   MOV ESI,77AD4E90                          ASCII dw7rtmminkernelthreadpoolntdllcallback.c
77B007AC   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77B007BE   MOV EDI,77AE02F8                          ASCII TppWaitpValidateWait
77B01934   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77B01946   MOV EDI,77AE02F8                          ASCII TppWaitpValidateWait
77B01CA6   MOV EDI,77B01CDC                          ASCII TppIopCallbackEpilog
77B01CAB   MOV ESI,77AF67FC                          ASCII dw7rtmminkernelthreadpoolntdllio.c
77B031CA   MOV DWORD PTR DS[EAX],77B9021C           ASCII xE
77B0389E   PUSH 77AB5B1A                             UNICODE WindowsErrorReportingServicePort
77B039DA   MOV DWORD PTR SS[EBP-8],77AB5AD2         UNICODE KernelObjectsSystemErrorPortReady
77B03CFD   MOV EBX,77B03D6C                          ASCII TppExceptionFilter
77B03D02   MOV EDI,77B03D40                          ASCII dw7rtmminkernelthreadpoolntdlltp.c
77B0451C   MOV EBX,77AB2D9C                          ASCII LdrpRelocateImage
77B04521   MOV EDI,77AB2C66                          ASCII dw7rtmminkernelntdllldrfind.c
77B04591   PUSH 77AB2D98                             ASCII LDR
77B051FD   PUSH 77B05270                             UNICODE Time Zones
77B0522A   PUSH 77B05288                             UNICODE Dynamic DST
77B053B9   MOV DWORD PTR SS[EBP-88],77B05488        UNICODE FirstEntry
77B053C9   MOV DWORD PTR SS[EBP-6C],77B05470        UNICODE LastEntry
77B05A25   PUSH 77AB28C4                             ASCII CLIENT(ntdll) Found CheckAppHelp = %d for %wZ in ImageFileExecutionOptions

77B05A65   PUSH 77AB28A6                             UNICODE ExecuteOptions
77B05AAB   PUSH 77AB284C                             ASCII CLIENT(ntdll) Found ExecuteOptions = %ws for %wZ in application compatibility database

77B05ABF   PUSH 77AB2838                             UNICODE Execute=1
77B05AD6   PUSH 77AB27D6                             ASCII CLIENT(ntdll) Found Execute=1, turning off execution protection for the process because of %wZ

77B06E68   PUSH 77AB9178                             UNICODE TimeZoneInformation
77B06FB0   MOV DWORD PTR SS[EBP-130],77B06D78       UNICODE Bias
77B06FC6   MOV DWORD PTR SS[EBP-114],77B06D84       UNICODE StandardName
77B06FD6   MOV DWORD PTR SS[EBP-F8],77B06DA0        UNICODE StandardBias
77B06FE6   MOV DWORD PTR SS[EBP-DC],77B06DBC        UNICODE StandardStart
77B06FF6   MOV DWORD PTR SS[EBP-C0],77B06DD8        UNICODE DaylightName
77B07006   MOV DWORD PTR SS[EBP-A4],77B06DF4        UNICODE DaylightBias
77B07016   MOV DWORD PTR SS[EBP-88],77B07070        UNICODE DaylightStart
77B070CB   PUSH 77B071F0                             UNICODE RegistryMachineHARDWAREDESCRIPTIONSystemCentralProcessor
77B070D0   PUSH 77B071DC                             UNICODE %ws%u
77B0714F   PUSH 77B071D0                             UNICODE ~MHz
77B07CB2   MOV EBX,77AD5D84                          ASCII TppTimerpUpdate
77B083D6   MOV EBX,77B08474                          ASCII TppWorkpExecuteCallback
77B083DB   MOV EDI,77AEC908                          ASCII dw7rtmminkernelthreadpoolntdllwork.c
77B084A1   MOV EBX,77B0852C                          ASCII TpPostWork
77B084A6   MOV ESI,77AEC908                          ASCII dw7rtmminkernelthreadpoolntdllwork.c
77B084B8   MOV EDI,77AF683C                          ASCII TppWorkpValidateWork
77B0A5A5   MOV ESI,77AB9F96                          ASCII %d
77B0D40F   PUSH 77AB473C                             ASCII DLL %wZ has TLS information at %p

77B0D416   PUSH 77AB472A                             ASCII LdrpInitializeTls
77B0D420   PUSH 77AB4652                             ASCII dw7rtmminkernelntdllldrtls.c
77B0D58A   PUSH 77AB8E70                             ASCII HEAP[%wZ] 
77B0D597   PUSH 77AB8E68                             ASCII HEAP 
77B0D5A2   PUSH 77AB90AA                             ASCII !(Flags & ~HEAP_CREATE_VALID_MASK)
77B0D8D7   PUSH 77AB414A                             ASCII Calling the Windows subsystem post-import routine %p failed with status 0x%08lx

77B0D8DE   PUSH 77AB4130                             ASCII LdrpRunInitializeRoutines
77B0D8E8   PUSH 77AB3FEE                             ASCII dw7rtmminkernelntdllldrsnap.c
77B0D919   PUSH 77AB4108                             ASCII Calling init routine %p for DLL %wZ

77B0D920   PUSH 77AB4130                             ASCII LdrpRunInitializeRoutines
77B0D92A   PUSH 77AB3FEE                             ASCII dw7rtmminkernelntdllldrsnap.c
77B0D94C   PUSH 77AB40EA                             UNICODE BreakOnDllLoad
77B0D993   PUSH 77AB40AA                             ASCII Init routine %p for DLL %wZ failed during DLL_PROCESS_ATTACH

77B0D99A   PUSH 77AB4130                             ASCII LdrpRunInitializeRoutines
77B0D9A4   PUSH 77AB3FEE                             ASCII dw7rtmminkernelntdllldrsnap.c
77B0D9F4   MOV EAX,77AB2A2C                          UNICODE NULL
77B0D9FD   PUSH 77AB2A0E                             ASCII DLL name %wZ DLL path %ws

77B0DA04   PUSH 77AB2BE2                             ASCII LdrLoadDll
77B0DA4D   PUSH 77AB2946                             ASCII Status 0x%08lx

77B0DA54   PUSH 77AB2BE2                             ASCII LdrLoadDll
77B0DA95   PUSH 77AB46AC                             ASCII LdrpAllocateTls
77B0DB16   PUSH 77AB4674                             ASCII TlsVector %p Index %d  %d bytes copied from %p to %p

77B0DB1D   PUSH 77AB46AC                             ASCII LdrpAllocateTls
77B0DB27   PUSH 77AB4652                             ASCII dw7rtmminkernelntdllldrtls.c
77B0DB5F   PUSH 77AB46D4                             ASCII Calling TLS callback %p for DLL %wZ at %p

77B0DB66   PUSH 77AB46BC                             ASCII LdrpCallTlsInitializers
77B0DB70   PUSH 77AB4652                             ASCII dw7rtmminkernelntdllldrtls.c
77B0DB9E   PUSH 77AB46BC                             ASCII LdrpCallTlsInitializers
77B0E07F   PUSH 77AB8E70                             ASCII HEAP[%wZ] 
77B0E08C   PUSH 77AB8E68                             ASCII HEAP 
77B0E097   PUSH 77AB8F00                             ASCII ((FreeBlock-Flags & HEAP_ENTRY_DECOMMITTED)  (ROUND_UP_TO_POWER2(FreeBlock, PAGE_SIZE) == (ULONG_PTR)FreeBlock))
77B0E167   PUSH 77AB8E70                             ASCII HEAP[%wZ] 
77B0E174   PUSH 77AB8E68                             ASCII HEAP 
77B0E17F   PUSH 77AB8EBE                             ASCII ROUND_UP_TO_POWER2(FreeBlock, PAGE_SIZE) == (ULONG_PTR)FreeBlock
77B0E844   PUSH 77AB2684                             ASCII .txt
77B0E85B   PUSH 77AB267E                             ASCII .txt2
77B0E8D3   PUSH 77AB278E                             ASCII CLIENT(ntdll) Processing %ws for patching section protection for %wZ

77B0E91D   PUSH 77AB275E                             ASCII CLIENT(ntdll) Processing section info %ws...

77B0EEAF   PUSH 90028                                ASCII p 
77B0F1CA   MOV EAX,77AB2A2C                          UNICODE NULL
77B0F1D1   PUSH 77AB2A0E                             ASCII DLL name %wZ DLL path %ws

77B0F1D8   PUSH 77AB29FC                             ASCII LdrGetDllHandleEx
77B0F1E2   PUSH 77AB29DA                             ASCII dw7rtmminkernelntdllldrapi.c
